This file contains several lists relating to film:

DEBUTS.TXT          Debuts of over 600 Stars - From 1930-Present

DIRECT.TXT          200 Directorial Debuts

LOSER.TXT           Films and Performances that LOST out on Oscar
                    night - including 10 films and 10 performances
                    NOT nominated

OSCAR.DEB           OSCAR WINNING/Nominated Debuts

SILENT.TXT          Stars who got their start in the Silents:
                    1900-1929 Debuts

UNUSUAL.TXT         Early Roles/Unusual Roles for Stars

     I believe that each of these lists is accurate, as far as I
could confirm. I have double checked the source for most of the
actors on each list.

     I am sure that anyone reading this will say "How could you
have missed [Actor/Actress]?". While I believe 650 is a good start,
I'm still working on making the list more complete, and will
probably be releasing a supplementary/updated list sometime in the
near future.

     If you think of someone whose debuts I should absolutely,
positively have on the next list, leave me a message.

JOHN HECKENLIVELY

                           FILM DEBUTS
                        Actors/Actresses

ACTOR                    TITLE                              YEAR
Ullmann, Liv             Fools in the Mountains             1957
Ullmann, Liv             Persona [1st Bergman]              1966
Ustinov, Peter           Hullo Fame                         1941
Vacarro, Brenda          Midnight Cowboy                    1969
Van Cleef, Lee           High Noon                          1952
Voight, John             Hour of the Gun                    1967
Von Sydow, Max           Bara en Mor [Only A Mother]        1949
Von Sydow, Max           Seventh Seal [Bergman]             1957
Wagner, Robert           The Happy Years                    1950
Walken, Christopher      The Anderson Tapes                 1971
Wallach, Eli             Baby Doll                          1956
Ward, Rachel             Night School                       1981
Warden, Jack             The Asphalt Jungle                 1950
Warren, Leslie Anne      The Happiest Millionaire           1967
Washington, Denzel       Carbon Copy                        1981
Waterston, Sam           Fitzwilly                          1967
WAYNE, John              Brown of Harvard                   1926
Weaver, Sigourney        Madman [Israeli]                   1976
Weaver, Sigourney        Annie Hall [US]                    1977
Weld, Tuesday            Rock, Rock, Rock                   1956
Werner, Oskar            Decision Before Dawn [US]          1951
Werner, Oskar            Der Engel mit der Posaune          1948
West, Mae                Night after Night                  1932
Westheimer, Dr Ruth      One Woman or Two                   1985
White, Jesse             Harvey                             1950
Wiest, Diane             It's My Turn                       1980
Wilde, Cornel            The Lady with Red Hair             1940
Wilder, Gene             Bonnie and Clyde                   1967
Williams, Jo Beth        Kramer vs Kramer                   1979
Williams, Robin          Popeye                             1980
Williams, Treat          Deadly Hero                        1976
Willis, Bruce            Blind Date                         1987
Winger, Debra            Slumber Party '57                  1977
Winkler, Henry           Lords of Flatbush                  1974
Winningham, Mare         One Trick Pony                     1980
Winters, Shelley         What a Woman!                      1958
Wood, Natalie            Happy Land                         1943
Woods, James             The Visitors                       1972
Woodward, Edward         Where There's A Will               1955
Woodward, Joan           Count Three and Pray               1955
Wycherly, Margaret       The Thirteenth Chair               1929
Wyman, Jane              The Kid From Spain                 1932
Wynn, Keenan             Somewhere I'll Find You            1942
York, Michael            Accident                           1967
York, Susannah           Tunes of Glory                     1960
Young, Gig               Misbehaving Husbands               1940
Zadora, Pia              Santa Claus Conquers Martians      1964
                      Academy Award debuts

* Brooks, James          Terms of Endearment                1983
* Costner, Kevin         Dances With Wolves                 1990
* Mann, Delbert          Marty                              1955
* Puenzo, Luis           The Official Story                 1985
* Redford, Robert        Ordinary People                    1980
 
                        Nominated Debuts

Beatty, Warren           Heaven Can Wait                    1978
Branagh, Kenneth         Henry V                            1989
Clayton, Jack            Room at the Top [Feature]          1959
Hudson, Hugh             * Chariots of Fire *               1981
Joffe, Roland            The Killing Fields                 1984
Kazan, Elia [Feat]       A Tree Grows in Brooklyn           1945
Lumet, Sydney            Twelve Angry Men                   1957
Nichols, Mike            Who's Afraid of Virginia Woolf     1966

                       Directorial Debuts

Allen, Woody             What's Up Tigerlily?               1966
Altman, Robert           Delinquents                        1957
Antonioni, Michel..      Story of A Love Affair             1950
Ashby, Hal               The Landlord                       1970
Attenborough, Richard    Oh! What a Lovely War              1969
Babenco, Hector          Rei de Noite                       1976
Bartel, Paul             Private Parts                      1972
Beineix, Jean-Jacques    Diva                               1982
Benton, Robert           Bad Company                        1972
Beresford, Bruce         Adventures of B McKenzie           1972
BERGMAN, Ingmar          Crisis [Swedish]                   1946
Bernstein, Walter        Little Miss Marker                 1980
Bertolucci, Bernardo     The Grim Reaper                    1962
Bill, Tony               My Bodyguard                       1980
Bogdonavich, Peter       Targets                            1968
Boorman, John            Catch Us If You Can                1965
Borzage, Frank           That Gal of Burke's                1916
Brenon, Herbert          All For Her                        1912
Brickman, Marshall       Simon                              1980
Brooks, Albert           Real Life                          1979
Brooks, Mel              The Producers                      1968
Brooks, Richard          Crisis                             1958
Brown, Clarence          Jim Bludso                         1917
Brunel, Luis             L'Age d'or                         1930
Cacoyannis, Michael      Windfall in Athens                 1954
Cameron, James           Pirahna 2: The Spawning            1981
Carpenter, John          Dark Star                          1974
Cassavettes, John        Shadows                            1960
Chaplin, Charles         Caught In A Cabaret                1914
Crichton, Michael        Westworld                          1973
Cimino, Michael          Thunderbolt and Lightfoot          1974
Columbus, Chris          Adventures in Babysitting          1987
Coppola, Francis F       Dementia 13                        1962
Corman, Roger            Highway Dragnet                    1954
Corman, Roger            Five Guns West [Dir]               1955
Costa-Gravas             Sleeping Car Murders               1965
Cukor, George            Grumpy                             1930
Cukor, George            The Tarnished Lady [Solo]          1931
Curtiz, Michael          The Third Degree                   1926
Dassin, Jules            Nazi Agent                         1942
DeMille, Cecil B         The Squaw Man                      1914
Demme, Jonathan          Caged Heat                         1974
DePalma, Brian           The Wedding Party                  1964
Dieterle, Will (US)      The Last Flight                    1931
Dinner, Michael          Heaven Help Us                     1985
Dmytryk, Edward          The Hawk                           1935
Eastwood, Clint          Play Misty for Me                  1971
Edwards, Blake           Bring Your Smile Along             1955
Eisenstein, Sergei       Strike!                            1924
Fassbinder, Rainer       Love Is Colder Than Death          1969
Fellini, Federico        Variety Lights                     1951
Fleming, Victor          When The Clouds Roll By            1919
Ford, John               The Tornado                        1917
Forman, Milos (US)       Taking Off                         1971
Fosse, Bob               Sweet Charity                      1969
Frankenheimer, John      The Young Stranger                 1957
Friedkin, William        Good Times                         1967
Frears, Stephen          Gumshoe                            1972
Germi, Pietro            The Witness                        1946
Godard, Jean Luc         Breathless [Feature]               1959
Hathaway, Henry          Heritage of the Desert             1932
Hawks, Howard            The Road to Glory                  1926
Hawks, Howard            The Dawn Patrol [Talking]          1930
Hill, George Roy         Period of Adjustment               1962
Hill, Walter             Hard Times                         1975
Hitchcock, Alfred        Pleasure Garden, The               1925
Hitchcock                Blackmail [Talking]                1929
Howard, Ron              Grand Theft Auto                   1977
Huston, Danny            Mr North                           1988
Huston, John             The Maltese Falcon                 1941
Ivory, James             The Householder                    1963
Jaffe, Stanley           Without a Trace                    1983
Jewison, Norman          Forty Pounds of Trouble            1963
Kapra, Frank             Fultah Fisher's Boarding...        1922
Kasdan, Lawrence         Body Heat                          1981
Kazan, Elia              People of the Cumberlands          1937
King, Henry              Little Mary Sunshine               1916
King, Steven             Maximum Overdrive                  1986
King Vidor               The Turn in the Road               1919
Koster, Henry            Adventure of Thea Roland           1932
Koster, Henry (US)       Three Smart Girls                  1936
Kramer, Stanley          Not As A Stranger                  1955
Kubrick, Stanley         Fear and Desire                    1953
Kurosawa, Akita          Sanshiro Sugata                    1943
La Cava, Gregory         His Nibs                           1922
Landis, John             Schlock                            1971
Lean, David              In Which We Serve                  1942
Lee, Spike               She's Gotta Have It [Feature]      1986
Lehmann, Michael         Heathers                           1989
Lelouch, Claude          The Right Man                      1960
Leone, Sergio            Last Days of Pompeii               1959
Leroy, Mervyn            No Place to Go                     1927
Levinson, Barry          Diner                              1982
Litvak, Anatole          Dolly's Way to Stardom             1929
Lloyd, Frank             The Gentleman from Indiana         1915
Lubitsch, Ernst          Blindman's Buff                    1915
Lucas, George            THX 1138                           1971
Lynch, David             Eraserhead                         1978
Lyne, Adrian             Foxes                              1980
Mamet, David             House of Games                     1987
Malle, Louis             The Silent World                   1955
Mankiewicz,Joseph        Dragonwyck                         1946
Marshall, Garry          Young Doctors In Love              1982
Marshall, Penny          Jumpin Jack Flash                  1986
Mazursky, Paul           Bob and Carol and Ted and...       1969
McCarey, Leo             Society Secrets                    1923
McDowell, Roddy          The Devil's Widow                  1972
Milestone, Lewis         Seven Sinners                      1925
Minelli, Vincente        Cabin in The Sky                   1943
Molinaro, Edouard        Le Dos au Mur                      1957
Moreau, Jeanne           Lumiere                            1976
Mulligan, Robert         Fear Strikes Out                   1957
Nair, Mira               Salaam Bombay!                     1988
Needham, Hal             Smokey and the Bandit              1977
Negulesco, Jean          Flag of Humanity [Short]           1940
Negulesco, Jean          Singapore Woman [Feature]          1941
O'Bannon, Dan            Return of the Living Dead          1985
Olivier, Laurence        Henry V                            1944
Pakula, Alan J           The Sterile Cuckoo                 1969
Parker, Alan             Bugsy Malone                       1976
Pasolini, Pier Paolo     Accattone                          1961
Paul, Steven             Falling in Love Again              1980
Peckinpah, Sam           The Deadly Companions              1961
Penn, Arthur             The Left-handed Gun                1958
Pinter, Harold           Butley                             1974
Polanski, Roman          Knife in the Water                 1962
Pollack, Sydney          The Slender Thread                 1965
Pontecorvo, Gilio        The Compass/The Windrose           1956
Preminger, Otto          The Great Love                     1931
Prince, Harold           Something For Everyone             1970
Reed, Carol              Midshipman Easy                    1933
Renoir, Jean             The Water Girl                     1924
Richardson, Tony         Look Back In Anger                 1959
Riefenstahl, Leni        The Blue Light                     1932
Ritt, Martin             Edge of the City                   1956
Roeg, Nicholas           Performance                        1970
Ross, Herbert            Goodbye Mr Chips                   1969
Rossen, Robert           Johnny O'Clock                     1947
Rusell, Ken              French Dressing                    1964
Rydell, Mark             The Fox                            1968
Sayles, John             Return of the Secaucus 7           1980
Schlesinger, John        Black Legend [Short]               1948
Schlesinger, John        A Kind of Loving [Feature]         1962
Schrader, Paul           Blue Collar                        1978
Schroeder, Barbet        More                               1969
Scorsese, Martin         Who's That Knocking at My..        1969
Scott, Ridley            The Duellists                      1977
Seltzer, David           Lucas                              1986
Shepard, Sam             Far North                          1988
Siodmak, Robert          People on Sunday                   1929
Spielberg, Steve         Night Gallery [TVM Segment]        1969
Spielberg                Duel [TVM]                         1971
Spielberg                Sugarland Express [Feature]        1974
Sternberg, Josef von     The Salvation Hunters              1925
Stevens, George          The Cohens and Kellys ...          1933
Stevenson, Robert        Falling for You                    1933
Stone, Oliver            Seizure                            1974
Sturges, John            The Man Who Dared                  1946
Sturges, Preston         The Great McGinty                  1940
Taurog, Norman           Lucky Boy                          1929
Taurog, Norman           Sunny Skies [Solo]                 1930
Thompson, Ernest         1969                               1988
Towne, Robert            Personal Best                      1982
Troell, Jan              Stopover in the Marshland          1965
Truffaut, Francois       A Visit [Short]                    1955
Van Dyke, W.S.           Her Good Name                      1917
Wajda, Andrzej           A Generation                       1954
Walters, Charles         Good News                          1947
Wayne, John              The Alamo                          1960
Weir, Peter              Homesdale                          1971
Welles, Orson            Citizen Kane                       1941
Wellman, William         The Man Who Won                    1923
Wertmuller, Lina         The Lizards                        1963
Wilder, Billy            Mauvaise Graine [France]           1933
Wilder, Billy (US)       Major and The Minor                1942
Wise, Robert             Curse of The Cat People            1944
Wyler, William           Crook Buster                       1925
Yates, Peter             Summer Holiday                     1963
Zinnemann, Fred          The Kid Glove Killer               1942

                         Actor-Directors

Bonerz, Peter            Nobody's Perfekt                   1981
Bridges, Beau            The Wild Pair                      1987
Convy, Bert              Weekend Warriors                   1986
Kelly, Gene              On The Town                        1949
Lemmon, Jack             Kotch                              1971
Lewis, Jerry             The Bellboy                        1960
Poitier, Sidney          Buck and The Preacher              1972
Pryor, Richard           Jo Jo Dancer, Your Life...         1986
Reiner, Rob              This is Spinal Tap                 1984
Reynolds, Burt           Gator                              1976
Rivers, Joan             Rabbit Test                        1978
Scott, George C          Rage                               1972
Stallone, Sylvester      Paradise Alley                     1978
                      BEST PICTURE NOMINEES

1   Citizen Kane                                            1941
2   The Grapes of Wrath                                     1940
3   Maltese Falcon                                          1941
4   Mr Smith Goes To Washington                             1939
5   Apocolypse Now                                          1979
6   High Noon                                               1952
7   Twelve Angry Men                                        1957
8   The Graduate                                            1967
9   Raging Bull                                             1980
10  Raiders of The Lost Ark                                 1981

                        DIRECTOR NOMINEES
                                
1   Orson Welles              Citizen Kane                  1941
2   Jean Renoir               Grand Illusion [Not Nom]      1938
3   Alfred Hitchcock          Psycho                        1960
4   Francois Truffaut         Day for Night                 1974
5   Robert Altman             Nashville                     1975
6   Frank Capra               It's A Wonderful Life         1946
7   Fred Zinnemann            High Noon                     1952
8   Francis Ford Coppola      The Godfather                 1972
9   John Huston               African Queen                 1951
10  John Ford                 Stagecoach                    1939

                       BEST ACTOR NOMINEES

1   Humphrey Bogart           Casablanca                    1943
2   Henry Fonda               Grapes of Wrath               1940
3   Clark Gable               Gone With Wind                1939
4   Humphrey Bogart           Maltese Falcon                1941
5   James Stewart             Mr Smith Goes to Wash..       1939
6   Marlon Brando             Streetcar Named Desire        1951
7   Spencer Tracy             Inherit The Wind              1960
8   Dustin Hoffman            The Graduate                  1967
9   Robert Redford            The Sting                     1973
10  Robert De Niro            Taxi Driver                   1976

                      BEST ACTRESS NOMINEES

1   Katharine Hepburn         The African Queen             1951
2   Bette Davis               Dark Victory                  1939
3   Bette Davis               All About Eve                 1950
4   Gloria Swanson            Sunset Boulevard              1950
5   Lynn Redgrave             Georgy Girl                   1966
6   Jill Clayburgh            An Unmarried Woman            1978
7   Julie Andrews             Sound of Music                1965
8   Ingrid Bergman            Bells of St Marys             1945
9   Lee Remick                Days of Wine and Roses        1962
10  Rosalind Russell          Auntie Mame                   1958
                    SUPPORTING ACTOR NOMINEES

1   Sydney Greenstreet        Maltese Falcon                1941
2   Claude Rains              Casablanca                    1943
3   Jack Nicholson            Easy Rider                    1969
4   Laurence Olivier          Marathon Man                  1976
5   Alec Guiness              Star Wars                     1977
6   Rod Steiger               On The Waterfront             1954
7   Chief Dan George          Little Big Man                1970
8   Randy Quaid               The Last Detail               1973
9   Robert Duvall             Apocolypse Now                1979
10  Judd Hirsch               Ordinary People               1980

                   SUPPORTING ACTRESS NOMINEE

1   Jean Hagen                Singin In The Rain            1952
2   Janet Leigh               Psycho                        1960
3   Angela Lansbury           Manchurian Candidate          1962
4   Sally Kellerman           MASH                          1970
5   Lee Grant                 Detective Story               1951
6   Judy Garland              Judgement at Nuremberg        1961
7   Angela Lansbury           Gaslight                      1944
8   Linda Blair               The Exorcist                  1973
9   Mariel Hemingway          Manhattan                     1979
10  Oprah Winfrey             The Color Purple              1985

                  ELIGIBLE - BUT NOT NOMINATED
                          BEST PICTURE

1   Singing In The Rain                                     1952
2   The Great Escape                                        1963
3   2001: Space Odyssey                                     1968
4   King Kong                                               1933
5   Gilda                                                   1946
6   African Queen                                           1951
7   Rear Window                                             1954
8   Psycho                                                  1960
9   The Manchurian Candidate                                1962
10  Manhattan                                               1979

                     ACTING CATEGORIES [ALL]

1   Ingrid Bergman            Casablanca                    1943
2   Sidney Poitier            Heat of The Night             1967
3   Henry Fonda               Mister Roberts                1955
4   Orson Welles              The Third Man                 1950
5   Robert Preston            The Music Man                 1962
6   James Dean                Rebel Without A Cause         1955
7   Paul Newman               The Sting                     1973
8   Martin Sheen              Apocolypse Now                1979
9   Brad Davis                Midnight Express              1978
10  Peter Lorre               The Maltese Falcon            1941
                     OTHER INTERESTING FACTS

*   Tony Curtis and Sidney Poitier were both nominated for
    The Defiant Ones. Both Lost.

*   Neither Paul Newman or Robert Redford was nominated for
    Butch Cassidy and The Sundance Kid.

*   Neither Dustin Hoffman or Robert Redford was nominated for
    All The President's Men.

*   Neither Richard Dreyfuss, Roy Scheider or Robert Shaw was
    nominated for Jaws.

*   Citizen Kane LOST for Cinematography.

*   2001: A Space Odyssey WAS NOT NOMINATED for Editing.

*   BOTH The Third Man and The Graduate WERE NOT NOMINATED
    for their musical scores.

*   Raiders of the Lost Ark was nominated for its score, but
    LOST. [To Chariots of Fire]
                           FILM DEBUTS
                        Actors/Actresses

ACTOR                    TITLE                              YEAR

* Academy Award *

* Andrews, Julie         Mary Poppins                       1964
* Booth, Shirley         Come Back Little Sheba             1952
* Hepburn, Audrey        Roman Holiday [US]                 1953
* Hutton, Timothy        Ordinary People                    1980
* Kedrova, Lila          Zorba The Greek [English]          1964
* Magnani, Anna          The Rose Tatoo [English]           1955
* Matlin, Marlee         Children of a Lesser God           1986
* McCambridge, Merc..    All The King's Men                 1949
* Ngor, Haing S          The Killing Fields                 1984
* O'Neal, Tatum          Paper Moon                         1973
* Saint, Eva Marie       On The Waterfront                  1954
* Sondergaard, Gail      Anthony Adverse                    1936
* Streisand, Barbara     Funny Girl                         1968
* Umeki, Miyoshi         Sayonara                           1957
* Van Fleet, Jo          East of Eden                       1955

                  * Nominated - Academy Award *

Alexander, Jane          The Great White Hope               1970
Arkin, Alan              The Russians Are Coming...         1966
Baryshnikov, M           The Turning Point                  1977
Blair, Linda             The Exorcist                       1973
Blakley, Ronee           Nashville                          1975
Browne, Leslie           The Turning Point                  1977
Buono, Victor            What Ever Happened to ...          1962
Burns, Catherine         Last Summer                        1969
Carlin, Lynn             Faces                              1968
Close, Glenn             World According to Garp            1982
Collinge, Patricia       The Little Foxes                   1940
Collins, Pauline         Shirley Valentine                  1989
Cummings, Quinn          The Goodbye Girl                   1977
Dall, John               The Corn is Green                  1945
Dourif, Brad             One Flew Over the Cuckoos..        1975
Dunn, Michael            Ship of Fools                      1965
Ferrer, Jose             Joan of Arc                        1948
Firth, Peter             Eqqus                              1977
Garfield, John           Four Daughters                     1938
Garson, Greer            Goodbye Mr Chips                   1939
Gazzo, Michael           The Godfather Part II              1974
Golberg, Whoopi          The Color Purple                   1985
Grant, Lee               Detective Story                    1951
Greenstreet, Sydney      Maltese Falcon [Talking]           1941
Harris, Julie            A Member of the Wedding            1952
Hartman, Elizabeth       A Patch of Blue                    1965
Henry, Justin            Kramer vs Kramer                   1979
Lagarde, Jocelyn         Hawaii                             1966
Lansbury, Angela         Gaslight                           1941
Lee, Peggy               Pete Kelly's Blues                 1955
Locke, Sondra            The Heart is A Lonely Hunter       1968
Mako                     The Sand Pebbles                   1966
Malkovich, John          The Killing Fields                 1984
McNamara, Maggie         The Moon is Blue                   1953
Merchant, Vivien         Alfie                              1966
Miller, Jason            The Exorcist                       1973
Moriarity, Cathy         Raging Bull                        1980
Murray, Don              Bus Stop                           1956
O'Keefe, Michael         The Great Santini                  1980
Ouspenskaya, Maria       Dodsworth [US]                     1936
Rollins, Howard E        Ragtime                            1981
Ross, Diana              Lady Sings The Blues               1972
Sarandon, Chris          Dog Day Afternoon                  1975
Scarwid, Diana           Inside Moves                       1980
Scott, Martha            Our Town                           1940
Snodgrass, Carrie        Diary of a Mad Housewife           1970
Stamp, Terence           Billy Budd                         1962
Stapleton, Maureen       Lonelyhearts                       1958
Strasberg, Lee           The Godfather Part II              1974
Suzman, Janet            Nicolas and Alexandra              1971
Tibbett, Lawrence        The Rogue Song                     1929
Tomlin, Lily             Nashville                          1975
Varsi, Diane             Peyton Place                       1957
Walters, Julie           Educating Rita                     1983
Widmark, Richard         Kiss of Death                      1947
Wild, Jack               Oliver!                            1968
Winfrey, Oprah           The Color Purple                   1985
Wright, Teresa           The Little Foxes                   1940
Wynyard, Diana           Calvacade                          1932
Young, Burt              Rocky                              1976
.. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. ..

Allgood, Sara                 Blackmail                     1929
Arden, Eve                    Song of Love                  1929
Arliss, George                The Devil                     1921
Arthur, Jean                  Cameo Kirby                   1923
Astor, Mary                   The Beggar Maid               1921
Auer, Mischa                  Something Always Happens      1928
Ayres, Lew                    The Sophomore                 1929
Barrymore, Ethel              The Nightingale               1914
Barrymore, Lionel             The Battle                    1911
Barthelmess, Rich             Gloria's Romance              1916
Basserman, Albert             Der Andere                    1913
Baxter, Warner                Her Own Money                 1914
Beery, Wallace                The Little American           1917
Bergner, Elisabeth            Der Evangelimann              1923
Bickford, Charles             Dynamite                      1929
Boyer, Charles                L'Homme du Large              1920
Brady, Alice                  As Ye Sow                     1914
Brennan, Walter               The Ridin' Rowdy              1927
Burke, Billie                 Peggy                         1916
Calhern, Louis                The Blot                      1921
Carey, Harry                  Bill Sharkley's Last Game     1909
Carroll, Nancy                Ladies Must Dress             1927
Chatterton, Ruth              Sons of the Fathers           1928
Chevalier, Maurice            Trop Credules                 1908
Chevalier, M [US]             Innocents of Paris            1928
Colbert, Claudette            For The Love of Mike          1927
Colman, Ronald                The Toilers                   1919
Compson, Betty                Wanted - A Leading Lady       1915
Cooper, Gary                  Tricks [1st Credit]           1926
Cooper, Gladys                The Eleventh Commandment      1913
Cooper, Jackie                Sunny Side Up                 1929
Crawford, Joan                The Circle                    1925
Crisp, Donald                 The French Maid               1907
Darwell, Jane                 The Capture of Aquinaldo      1913
Dietrich, Marlene             So Sind die Manner            1922
Dressler, Marie               Tillies Puctured Romance      1914
Erwin, Stuart                 Mother Knows Best             1928
Evans, Dame Edith             A Welsh Singer                1915
Fields, WC                    Pool Sharks                   1915
Fitzgerald, Barry             Juno and the Paycock          1929
Gable, Clark                  Forbidden Paradise            1924
Garbo, Greta                  A Fortune Hunter              1921
Gaynor, Janet                 The Flood                     1926
Gish, Dorothy                 An Unseen Enemy               1912
Gish, Lillian                 An Unseen Enemy               1912
Goddard, Paulette             The Locked Door               1929
Gordon, Ruth                  Camille                       1915
Gwenn, Edmund                 The Real Thing At Last        1916
Hardy, Oliver                 Outwitting Dad                1914
Hayakawa, Sessue              The Wrath of the Gods         1914
Hayworth, Rita                La Fiesta [Child]             1926
Holloway, Stanley             The Rotters                   1921
Homolka, Oscar                Die Abenteur eines Zehnmarks..1926
Hopkins, Miriam               The Home Girl                 1928
Howard, Leslie                The Happy Warrior             1917
Huston, John                  The Shakedown [Bit]           1929
Huston, Walter                Gentelmen of The Press        1929
Jannings, Emil                Im Scutzengraben              1914
Lanchester, Elsa              One of The Best               1927
Laughton, Charles             Piccadilly                    1929
Laurel and Hardy              45 Minutes From Hollywood     1926
Laurel, Stan                  Nuts in May                   1917
Lombard, Carole               A Perfect Crime               1921
Love, Bessie                  Intolerance                   1916
Loy, Myrna                    Pretty Ladies                 1925
Lukas, Paul [US]              Two Lovers                    1928
MacDonald, Jeanette           The Love Parade               1929
MacMurray, Fred               Girls Gone Wild [Extra]       1929
March, Frederic               The Dummy                     1928
Marx Brothers                 Cocoanuts                     1929
McLaglen, Victor              The Call of the Road          1920
Menjou, Adolphe               The Man Behind The Door       1914
Merkel, Una                   The White Rose                1923
Milland, Ray                  The Plaything                 1929
Montgomery, Robert            College Days                  1926
Muni, Paul                    The Valiant                   1929
Oakie, Jack                   Finders Keepers               1928
Ouspenskaya, Maria            Cricket on the Hearth [USSR]  1915
Pickford, Mary                Her First Biscuits            1909
Pidgeon, Walter               The Mannequin                 1926
Powell, William               Spanish Love                  1922
Rains, Claude                 Build Thy House               1920
Rambeau, Marjorie             Dazzling Miss Davison         1916
Rathbone, Basil               Innocent                      1921
Rathbone, Basil               The Masked Bride [US]         1925
Robinson, Edward G            The Bright Shawl              1923
Rooney, Mickey                Not To Be Trusted             1926
Schildkraut, Joseph           Orphans of the Storm [US]     1922
Schildkraut, Joseph           The Wandering Jew             1908
Shearer, Norma                The Flapper                   1920
Sidney, Sylvia                Thru Different Eyes           1929
Sothern, Ann                  Broadway Nights               1927
Stanwyck, Barbara             The Locked Door               1929
Stone, Lewis                  Honor's Altar                 1916
Swanson, Gloria               The Fable of Elvira...        1915
WAYNE, John                   Brown of Harvard              1926
Webb, Clifton                 Polly with a Past             1920
Wycherly, Margaret            The Thirteenth Chair          1929
Young, Loretta                The Only Way                  1919
Young, Roland                 Sherlock Holmes               1922
                       UNUSUAL/EARLY ROLES

ACTOR                         FILM

Jack Albertson                Miracle on 34th Street (1947)
.. Postal Employee

Lucille Ball...               
Blood Money (1933)..               Girlfriend at racetrack
Follow The Fleet (1936)            Kitty

Charles Bronson...            
The People Against O'Hara (1951)   William Campbell's Brother
Diplomatic Courier (1952)          ..
The Clown (1953)..                 Dice game scene

Dana Carvey...
Tough Guys (1986)..                Wimpy parole officer
Moving (1988)..                    Deranged car delivery man

                        FOR "CHEERS" FANS

Ted Danson...
Creepshow (1982)..            Ill-fated lover [Pre-Sam Malone]
Little Treasure (1985)        Ex-patriot in Mexico

George Wendt...
My Bodyguard (1980)           Dreamscape (1984)
Fletch (1985)                 House (1986)

John Ratzenberger...          
Outland (1981)                     House 2 (1987)
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
Kevin Costner                 Chasing Dreams (1982)
.. Med Student

Robert DeNiro                 Jennifer on My Mind (1971)
.. Gypsy Cab Driver 
 
Clint Eastwood...             
Lady Godiva (1955)            First Saxon
Tarantula (1955)              Squadron Leader.. Final sequence
Escapade in Japan (1957)      Dumbo [Soldier, not elephant]

Merv Griffin                  Phantom of the Rue Morgue (1954)
.. A college student

Melanie Griffith....
Body Double (1984)..          Porno Actress
The Drowning Pool (1976)           

Larry Hagman                  Failsafe (1964)
.. Interpreter
Dennis Hopper...
Glory Stompers (1967)..       Biker film [Pre-Easy Rider]
My Science Project (1985)..   Hippie science teacher

Steven King....
Knightriders (1981)           Beer-guzzling spectator
Creepshow (1982)              Rube with Meteor
Creepshow 2 (1987)            Truck Driver

Klaus Kinski                  Decision before Dawn (1951)
Nastassia Kinski              Boarding School (1977)

                        FOR "LA LAW" FANS

Dey, Susan                    Skyjacked                1972
Dysart, Richard               Petulia                  1968
Hamlin, Harry                 Movie Movie              1978
Smits, Jimmy                  Running Scared           1986
Eikenberry, Jill              Between The Lines        1977

Jill Eikenberry and Michael Tucker
A Night Full of Rain (1977)   [Debut for Tucker]
An Unmarried Woman (1978)

David Letterman               Fast Friends (1979)
.. A Comedian [a major stretch]

Daniel Day Lewis              Gandhi (1982)
.. Hoodlum who accosts Gandhi

Bela Lugosi                   The Devil's In Love (1933)
.. Prosecuting Attorney       [rare non-horror role]

David Mamet                   Black Widow (1986)
.. Poker Player
                              
Robert Mitchum...
Cry Havoc (1943)..                 Dying Soldier
The Dancing Masters (1943)..       Hood


Jack Nicholson                
Little Shop of Horrors (1960)..    Masochist at Dentist
The Broken Land (1962)..           Western!
                     FOR "NIGHT COURT" FANS

John Laroquette...
Texas Chainsaw Massacre (1974)     Narrator [Listen]
Heart Beat (1980)                  ..
Altered States (1981)              X Ray Techician
Green Ice (1981)                   Ballooning Expert

Richard Moll...
Hard Country (1981)
Metalstorm: The Destruction of Jared-Syn (1983)
The Dungeonmaster (1985)
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Leonard Nimoy                 
Satan's Satellites (1958)     .. Martian who helps save Earth
The Brain Eaters (1958)

                  FOR "PERFECT STRANGERS" FANS

Bronson Pinchot               Beverly Hills Cop (1984)
.. Gay art gallery employee

Mark Linn-Baker               Manhattan (1979)
.. Shakespearan actor in Central Park
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Polanski, Roman...            
Chinatown (1974)..            Hood who knifes Nicholson
A Generation (1954)           Andrzej Wajda's Debut Film

Ronald Reagan                 Hollywood Hotel (1937)
.. Radio Announcer [A major stretch]

Kurt Russell               It Happened at the World's Fair (1963)
.. Elvis Presley film... Russell has small role

Arnold Schwarzenegger
The Long Goodbye (1973)..          Bodybuilder [A major stretch]
Jayne Mansfield Story (1980)..     Mickey Hargitay

Tom Selleck.. (Early Roles)
Myra Breckenridge (1970)      A Case of Rape (1974)
Coma (1978)                   Midway (1976)

Charlie Sheen                 Ferris Bueller's Day Off (1986)
.. Punk at police station

Jaclyn Smith                  Goodbye, Columbus (1969)
.. Model
Patrick Stewart [Captain Picard]
